item_number,name,year,theme,subtheme,pieces,minifigures,image_URL,price
6899,Nebula Outpost,1996,Space,Exploriens,158,2,http://images.brickset.com/sets/images/6899-1.jpg,NA
6938,Scorpion Detector,1996,Space,Exploriens,196,2,http://images.brickset.com/sets/images/6938-1.jpg,NA
6958,Android Base,1996,Space,Exploriens,267,3,http://images.brickset.com/sets/images/6958-1.jpg,NA
6982,Explorien Starship,1996,Space,Exploriens,662,4,http://images.brickset.com/sets/images/6982-1.jpg,NA
8207,Dune Duster,1996,Technic,,86,NA,http://images.brickset.com/sets/images/8207-1.jpg,NA
8230,Coastal Cop Buggy,1996,Technic,,175,1,http://images.brickset.com/sets/images/8230-1.jpg,NA
8244,Convertables,1996,Technic,,275,1,http://images.brickset.com/sets/images/8244-1.jpg,NA
8286,3-In-1 Car,1996,Technic,,734,2,http://images.brickset.com/sets/images/8286-1.jpg,NA
8408,Desert Ranger,1996,Technic,,289,NA,http://images.brickset.com/sets/images/8408-1.jpg,NA
8425,Black Hawk,1996,Technic,,465,NA,http://images.brickset.com/sets/images/8425-1.jpg,NA
8443,Pneumatic Log Loader,1996,Technic,,327,NA,http://images.brickset.com/sets/images/8443-1.jpg,NA
8456,Fiber Optic Multi Set,1996,Technic,,404,NA,http://images.brickset.com/sets/images/8456-1.jpg,NA
8480,Space Shuttle,1996,Technic,,1368,NA,http://images.brickset.com/sets/images/8480-1.jpg,NA
9293,Community Workers,1996,Dacta,,182,30,http://images.brickset.com/sets/images/9293-1.jpg,NA
9833,Transformer 9 V,1996,Dacta,,1,NA,http://images.brickset.com/sets/images/9833-1.jpg,13.99
1746,Wiz the Wizard,1995,Castle,Dragon Knights,17,1,http://images.brickset.com/sets/images/1746-1.jpg,NA
1759,Parrot,1995,Duplo,,7,NA,http://images.brickset.com/sets/images/1759-1.jpg,NA
1785,Crater Critters,1995,Space,Miscellaneous,143,NA,http://images.brickset.com/sets/images/1785-1.jpg,NA
1787,Crater Cruiser,1995,Space,Unitron,183,2,http://images.brickset.com/sets/images/1787-1.jpg,NA
1788,Treasure Chest,1995,Pirates,,159,4,http://images.brickset.com/sets/images/1788-1.jpg,NA
1789,Star Hawk II,1995,Space,Unitron,292,2,http://images.brickset.com/sets/images/1789-1.jpg,NA
1807,Santa Claus and Sleigh,1995,Town,Seasonal,17,1,http://images.brickset.com/sets/images/1807-1.jpg,NA
1819,Large Bucket,1995,Basic,,950,NA,http://images.brickset.com/sets/images/1819-1.jpg,NA
1822,Sea Claw 7,1995,Aquazone,Aquanauts,192,2,http://images.brickset.com/sets/images/1822-1.jpg,NA
2945,Space Center,1995,Duplo,Toolo,47,2,http://images.brickset.com/sets/images/2945-1.jpg,NA
4130,Daft 'n' Dotty,1995,Freestyle,,37,NA,http://images.brickset.com/sets/images/4130-1.jpg,NA
4131,"Freestyle Building Set, 3+",1995,Freestyle,,71,NA,http://images.brickset.com/sets/images/4131-1.jpg,NA
4133,"Freestyle Bucket, 3+",1995,Freestyle,,135,NA,http://images.brickset.com/sets/images/4133-1.jpg,NA
4134,"Freestyle Bucket, 3+",1995,Freestyle,,252,NA,http://images.brickset.com/sets/images/4134-1.jpg,NA
4150,Building Set 5+,1995,Freestyle,,88,1,http://images.brickset.com/sets/images/4150-1.jpg,NA
4151,"Girl's Freestyle Set, 5+",1995,Freestyle,,272,NA,http://images.brickset.com/sets/images/4151-1.jpg,NA
4152,"Freestyle Bucket, 5+",1995,Freestyle,,400,2,http://images.brickset.com/sets/images/4152-1.jpg,NA
4153,"Freestyle Playcase (L), 5+",1995,Freestyle,,687,2,http://images.brickset.com/sets/images/4153-1.jpg,NA
4161,"Girl's Freestyle Suitcase, 6+",1995,Freestyle,,283,2,http://images.brickset.com/sets/images/4161-1.jpg,NA
4162,"Freestyle Multibox, 6+",1995,Freestyle,,592,NA,http://images.brickset.com/sets/images/4162-1.jpg,NA
4163,"Electric Freestyle Set, 6+",1995,Freestyle,,349,NA,http://images.brickset.com/sets/images/4163-1.jpg,NA
4552,Cargo Crane,1995,Trains,9 V,282,2,http://images.brickset.com/sets/images/4552-1.jpg,NA
4555,Cargo Station,1995,Trains,9 V,389,3,http://images.brickset.com/sets/images/4555-1.jpg,NA
5125,Space Port Accessories (Launch Command Accessories),1995,Service Packs,Town,31,NA,http://images.brickset.com/sets/images/5125-1.jpg,NA
5126,Crane and Digger Accessories,1995,Service Packs,,18,NA,http://images.brickset.com/sets/images/5126-1.jpg,NA
5127,Antennas and Control Sticks,1995,Service Packs,,37,NA,http://images.brickset.com/sets/images/5127-1.jpg,NA
5132,"Wheels, Bearings and Suspension",1995,Service Packs,,32,NA,http://images.brickset.com/sets/images/5132-1.jpg,NA
5135,Castle Accessories,1995,Service Packs,Castle,30,NA,http://images.brickset.com/sets/images/5135-1.jpg,NA
5160,Aquazone Accessories,1995,Service Packs,Aquazone,18,NA,http://images.brickset.com/sets/images/5160-1.jpg,NA
5268,Small Low Profile Tyres,1995,Service Packs,,8,NA,http://images.brickset.com/sets/images/5268-1.jpg,NA
5269,Lift-Arms and Triangles,1995,Service Packs,Technic,12,NA,http://images.brickset.com/sets/images/5269-1.jpg,NA
5287,Plates and Gear Racks,1995,Service Packs,Technic,18,NA,http://images.brickset.com/sets/images/5287-1.jpg,NA
